236	2726	ᑲᑎᒪᔾᔪᑎᒃᓴᐃᑦ
237	2688	ᐊᒃᓱᐊᓗᒃ
238	2684	ᒫᓂᑲ
239	2682	ᐅᕙᒍᑦ
240	2658	ᒥᔅᓵᓄᑦ
241	2649	ᓄᓇᕗᒻᒥᐅᑦ
242	2603	ᒪᕐᕉᓐᓂᒃ
243	2594	ᑖᒃᑯᐊᓗ
244	2592	ᑎᑎᖅᑲᒃᑯᑦ
245	2589	ᐱᖁᔨᕗᖔᕈᑦ
246	2573	ᔫ
247	2573	ᔮᓂ
248	2552	ᑕᐃᕕᑦ
249	2515	ᐱᓗᐊᖅᑐᒥᒃ
250	2506	ᐅᕙᖓ
251	2503	ᐊᕐᕌᒍᓄᑦ
252	2499	ᑲᓇᔪᖅ
253	2490	ᐊᐱᖅᑯᑎᒧᑦ
254	2471	ᓄᓇᓕᐅᔪᑦ
255	2426	ᐊᓯᖏᓐᓂᓪᓗ
256	2421	ᐱᖓᔪᐊᓐᓂᒃ
257	2403	ᒪᓕᒐᓕᐅᕐᕕᖕᒧᑦ
258	2396	ᑮᓇᐅᔭᓕᕆᔨᒃᑯᑦ
259	2391	ᐊᑭᑐᔫᑎᓄᑦ
260	2389	ᒪᑯᐊ
261	2358	ᐄᕙ
262	2354	ᑲᑎᒪᔨᕋᓛᓂᑦ
263	2352	ᐃᒃᓯᕙᐅᑖ
264	2350	ᐊᐱᖅᑯᑎᓄᑦ
265	2342	ᐃᓕᓐᓂᐊᖅᑏᑦ
266	2334	ᓂᑦ
267	2323	ᐊᓯᖏᓐᓂᒃ
268	2308	ᓈᓴᐅᑎᖓ
269	2293	ᑕᒑᖅ
270	2286	ᑐᓵᔨᑎᒍ
271	2266	ᐊᕐᓇᐃᑦ
272	2257	ᓗᐊᓐ
273	2256	ᐃᒻᒪᖄ
274	2250	ᐃᓄᓐᓂᒃ
275	2248	ᒐᕙᒪᒃᑯᓐᓂ
276	2247	ᒐᕙᒪᒃᑯᓐᓂᑦ
277	2244	ᐱᕙᓪᓕᐊᔪᓕᕆᓂᕐᒧᑦ
278	2242	ᑕᑉᑐᓇ
279	2231	ᓈᓴᐅᑎᓕᒃ
280	2230	ᐅᖃᖅᑲᐅᒐᒪ
281	2230	ᐃᖅᑲᓇᐃᔭᖅᑎᖏᑦ
282	2229	ᐱᓕᕆᐊᓕᒃ
283	2208	ᑕᒪᐃᓐᓄᑦ
284	2181	ᐊᓯᖏᓪᓗ
